tam_1,tam_2,tam_3,tam_4,tam_5,tam_6,tam_7,tam_8,tam_9,tam_10
10.3,-110,6,95.1,4.9,2,-14,2,12749600000,25140400000
9.25,-108,6,95.1,5.7,0.8,-13.4,0.8,12753805091.9083,25177155001.3531
8.2,-95,6,95.1,4.5,0.7,-13.1,1.1,12758010183.8166,25213910002.7062
6.8,-92,5.3,95.1,2.9,2.6,-12.9,1.7,12762215275.725,25250665004.0594
5.4,-88,5.3,95.1,3,1.5,-12.6,0.9,12766420367.6333,25287420005.4125
10.1,-87,5.3,95.1,3.3,-2.3,-11.1,1.7,12770625459.5416,25324175006.7656
14.8,-84,5,95.1,3.6,-8.5,-3.4,2.6,12774830551.4499,25360930008.1187
20.15,-75,5,95.1,3.2,-5.5,-8.7,1.4,12779035643.3582,25397685009.4719
25.5,-73,5,95.1,4,-5.3,-7.5,1.8,12783240735.2666,25434440010.825
23.8,-69,3.3,95.1,6.1,-7,-2.5,1,12787445827.1749,25471195012.1781
22.1,-66,3.3,95.1,6.2,-7.8,1.6,0.6,12791650919.0832,25507950013.5312
21.6,-59,3.3,95.1,3.1,-6.5,5.4,0.9,12795856010.9915,25544705014.8844
21.1,-50,1.7,95.1,1.3,-5.6,6.2,1.6,12800061102.8998,25581460016.2375
18.3,-49,1.7,95.1,5.4,-7.3,-0.4,1.2,12804266194.8082,25618215017.5906
15.5,-46,1.7,95.1,6.5,-6.1,-0.6,1,12808471286.7165,25654970018.9437
12.75,-42,1,95.1,7.1,-5.5,-1.1,1.6,12812676378.6248,25691725020.2969
10,-39,1,95.1,6.8,-5.7,0.7,1.8,12816881470.5331,25728480021.65
8.6,-36,1,95.1,5.2,-6,-1.1,1.8,12821086562.4415,25765235023.0031
7.2,-37,2,95.1,5.7,-5.6,-0.7,1.7,12825291654.3498,25801990024.3562
7.1,-36,2,95.1,5.3,-4.6,-1.1,3.3,12829496746.2581,25838745025.7094
7,-33,2,95.1,4.4,-2.8,-0.6,6.9,12833701838.1664,25875500027.0625
7.05,-27,1.7,95.1,4.5,0.2,0.1,8.8,12837906930.0747,25912255028.4156
7.1,-29,1.7,95.1,4.3,-3.2,0.8,6.9,12842112021.9831,25949010029.7687
7.05,-32,1.7,95.1,3.1,-6.8,0.3,3.5,12846317113.8914,25985765031.1218
7,-30,3,96.6,3.8,-5.6,0.6,5.9,12850522205.7997,26022520032.475
6.65,-23,3,96.6,1.8,-1.3,-0.2,11.4,12847960164.0402,25984186820.5758
6.3,-34,3,96.6,6,-7.2,-2.6,1.8,12845270570.6018,25944438293.3988
6.15,-33,2.3,96.6,5.1,-8.1,0.1,1.6,12842580977.1634,25904689766.2219
6,-29,2.3,96.6,8.1,-2.2,0.3,2.6,12839891383.725,25864941239.0449
8.3,-25,2.3,96.6,6.9,-4,-1.5,4.2,12837201790.2867,25825192711.8679
10.6,-16,3,96.6,4.5,-5.4,-1.8,8,12834512196.8483,25785444184.691
13.3,-17,3,96.6,2.8,-4.6,0.4,7.7,12831822603.4099,25745695657.514
16,-16,3,96.6,2.4,-4.3,-1.4,8.5,12829133009.9715,25705947130.337
15.35,-17,2.3,96.6,3.4,-3.8,-2.2,9.7,12826443416.5331,25666198603.1601
14.7,-15,2.3,96.6,2.9,-3.5,0.1,11,12823753823.0947,25626450075.9831
16.55,-11,2.3,96.6,-0.2,0.4,0.9,8.5,12821064229.6563,25586701548.8061
18.4,-9,2.3,96.6,0,-3.8,1,7.6,12818374636.2179,25546953021.6292
16.7,-13,2.3,96.6,-2.7,0.8,-0.9,7,12815685042.7795,25507204494.4522
15,-14,2.3,96.6,-1.6,-1.5,2.1,7,12812995449.3411,25467455967.2752
12,-17,1.7,96.6,-3.7,2.1,-2.8,6.1,12810305855.9027,25427707440.0983
9,-21,1.7,96.6,-5.2,-0.2,-0.4,5.9,12807616262.4644,25387958912.9213
8.5,-21,1.7,96.6,-5.4,-0.2,0.9,5.5,12804926669.026,25348210385.7443
8,-17,1.7,96.6,-4.6,2.7,0.9,5.7,12802237075.5876,25308461858.5674
8.35,-17,1.7,96.6,-4.9,1.4,0.7,5.4,12799547482.1492,25268713331.3904
8.7,-18,1.7,96.6,-4.9,1.4,1,5.5,12796857888.7108,25228964804.2134
8.65,-14,1.3,96.6,-5.6,-0.3,2,6,12794168295.2724,25189216277.0364
8.6,-11,1.3,96.6,-6.4,0.9,1.1,5.9,12791478701.834,25149467749.8595
8.25,-12,1.3,96.6,-6.2,1.3,0.2,5.7,12788789108.3956,25109719222.6825
7.9,-15,0.3,98.5,-6.1,1.3,0,6.1,12786099514.9572,25069970695.5055
8.15,-12,0.3,98.5,-6.3,2.3,2.6,6.3,12780402864.4586,25050610015.1966
8.4,-12,0.3,98.5,-6.1,3.4,1.4,6.9,12774590678.019,25032032668.568
8.4,-11,1.7,98.5,-7.4,2.1,2.3,6.4,12768778491.5794,25013455321.9393
8.4,-10,1.7,98.5,-7.1,2.6,1.9,5.2,12762966305.1398,24994877975.3107
10.05,-13,1.7,98.5,-3.3,3.3,0.2,5.3,12757154118.7002,24976300628.6821
11.7,-16,2,98.5,-2.9,3.9,-1.2,4.9,12751341932.2605,24957723282.0534
13.2,-14,2,98.5,-4.2,3.6,-1.5,4.7,12745529745.8209,24939145935.4248
14.7,-13,2,98.5,-6.1,0.7,0.5,4.2,12739717559.3813,24920568588.7961
15.7,-12,0.7,98.5,-5.9,0.5,-0.5,4,12733905372.9417,24901991242.1675
16.7,-11,0.7,98.5,-5.2,2.2,0.2,3.8,12728093186.5021,24883413895.5389
16.65,-9,0.7,98.5,-4.5,3.2,-1.3,4.1,12722281000.0625,24864836548.9102
16.6,-8,1.3,98.5,-5.1,2.1,0.6,4,12716468813.6228,24846259202.2816
14.85,-9,1.3,98.5,-4.7,1.6,1.1,4.1,12710656627.1832,24827681855.6529
13.1,-5,1.3,98.5,-3.2,2.6,-1.1,4.8,12704844440.7436,24809104509.0243
11.3,-5,2.3,98.5,0.4,3.9,-0.6,5.4,12699032254.304,24790527162.3957
9.5,-4,2.3,98.5,-2.2,3,-0.5,5.8,12693220067.8644,24771949815.767
8.75,-6,2.3,98.5,-1.6,2.6,-0.1,5.4,12687407881.4247,24753372469.1384
8,-5,1.7,98.5,1.1,3.5,-0.2,4.9,12681595694.9851,24734795122.5097
7.8,-9,1.7,98.5,1.6,3.3,-1,4.6,12675783508.5455,24716217775.8811
7.6,-13,1.7,98.5,2.7,2.5,-1.7,4.3,12669971322.1059,24697640429.2525
8,-16,2.7,98.5,0.4,2.1,-0.6,4.4,12664159135.6663,24679063082.6238
8.4,-18,2.7,98.5,-4.4,1.1,0.7,2.6,12658346949.2266,24660485735.9952
8.15,-19,2.7,98.5,-4.3,1.5,1.3,2.4,12652534762.787,24641908389.3665
7.9,-19,0.3,92.2,-4.2,1.9,0.3,2.3,12646722576.3474,24623331042.7379
8.15,-20,0.3,92.2,-3.2,2.3,-0.9,2.8,12633898946.6453,24597824832.9413
8.4,-21,0.3,92.2,-3.8,1.1,-0.2,2.8,12620663315.7774,24571911474.4884
8.5,-20,1.7,92.2,-3.8,1.6,-0.1,2.6,12607427684.9095,24545998116.0356
8.6,-17,1.7,92.2,-3.2,2.4,0.1,3,12594192054.0417,24520084757.5827
10.6,-14,1.7,92.2,-2.8,2.9,-0.3,3.6,12580956423.1738,24494171399.1298
12.6,-11,1.7,92.2,-1.7,1.3,-2.6,4.8,12567720792.3059,24468258040.677
14.6,-10,1.7,92.2,-2.7,2.3,0.4,5.3,12554485161.4381,24442344682.2241
16.6,-6,1.7,92.2,-3.1,2.6,1,5,12541249530.5702,24416431323.7713
16.35,-2,0.7,92.2,-3.5,2,1.2,5,12528013899.7023,24390517965.3184
16.1,-1,0.7,92.2,-2.1,-0.4,1.8,5,12514778268.8344,24364604606.8655
16.4,0,0.7,92.2,-5.3,0.9,3.3,5.6,12501542637.9666,24338691248.4127
16.7,-1,0.7,92.2,-5.1,2.4,0.1,5.8,12488307007.0987,24312777889.9598
15.5,-4,0.7,92.2,-2.4,-1.8,2.5,5.8,12475071376.2308,24286864531.507
14.3,-4,0.7,92.2,-1.9,-2.5,3,4.9,12461835745.3629,24260951173.0541
12.35,-1,2,92.2,-2.7,-2.7,2.1,4.8,12448600114.4951,24235037814.6012
10.4,0,2,92.2,-3.8,-1.7,-0.3,5.3,12435364483.6272,24209124456.1484
9.6,0,2,92.2,-3.9,-1.8,0.2,5.7,12422128852.7593,24183211097.6955
8.8,3,1.7,92.2,-4.9,1.2,0.5,5.6,12408893221.8915,24157297739.2427
8.65,1,1.7,92.2,-4,-1.7,-1,6.2,12395657591.0236,24131384380.7898
8.5,-5,1.7,92.2,-5.1,-1.4,-0.9,5.7,12382421960.1557,24105471022.3369
8.9,-5,0.7,92.2,-5.4,0.5,0.9,5.4,12369186329.2878,24079557663.8841
9.3,-6,0.7,92.2,-5.1,0.6,1,5.5,12355950698.42,24053644305.4312
8.95,-4,0.7,92.2,-4.9,1.4,1.7,5.8,12342715067.5521,24027730946.9784
8.6,-3,0.3,92.1,-4.1,2.2,1,6.3,12329479436.6842,24001817588.5255
8.65,0,0.3,92.1,-3.5,2.6,1.2,7.5,12337833830.1726,24021451470.7413
8.7,1,0.3,92.1,-4.8,1.9,3.7,7.9,12347913560.3805,24044725197.2438
8.65,2,1,92.1,0.3,3.9,1.7,9.3,12357993290.5885,24067998923.7463
8.6,0,1,92.1,-2.6,5.8,2.8,9.6,12368073020.7965,24091272650.2488
11.05,3,1,92.1,-1.7,5.8,1.6,14.3,12378152751.0044,24114546376.7513
13.5,1,1,92.1,-2.8,5.2,3.1,15.6,12388232481.2124,24137820103.2537
14.25,5,1,92.1,-2.2,3.3,5.2,14.4,12398312211.4204,24161093829.7562
15,12,1,92.1,-3.3,5,-0.2,18.4,12408391941.6283,24184367556.2587
16.2,10,1.7,92.1,-5,5.5,-0.1,18.8,12418471671.8363,24207641282.7612
17.4,7,1.7,92.1,-5,6,5.6,15,12428551402.0443,24230915009.2637
16.25,6,1.7,92.1,-2.5,5.4,7,9.1,12438631132.2522,24254188735.7662
15.1,9,1,92.1,-1.2,2.5,9.3,8.5,12448710862.4602,24277462462.2687
15.15,12,1,92.1,1.3,1.1,9.5,8.8,12458790592.6682,24300736188.7712
15.2,15,1,92.1,4.8,-1.7,7.2,11.1,12468870322.8761,24324009915.2736
12.3,16,2,92.1,5,-2.4,8.2,10.3,12478950053.0841,24347283641.7761
9.4,18,2,92.1,4.8,-3.1,10,11.7,12489029783.292,24370557368.2786
9.05,12,2,92.1,-8.7,7,2.1,8.5,12499109513.5,24393831094.7811
8.7,5,2.3,92.1,-11,11.3,2.8,4.6,12509189243.708,24417104821.2836
8.6,2,2.3,92.1,-6.5,10.6,5,4.4,12519268973.9159,24440378547.7861
8.5,5,2.3,92.1,-2.5,8.3,7.6,6.7,12529348704.1239,24463652274.2886
8.6,10,2,92.1,-3.2,7.4,8.9,7.5,12539428434.3319,24486926000.7911
8.7,12,2,92.1,-4.9,8.5,8.8,6.8,12549508164.5398,24510199727.2935
8.65,16,2,92.1,-6,10.4,1.9,9.2,12559587894.7478,24533473453.796
8.6,12,4.7,96.9,-5.8,8.3,-6.5,10.7,12569667624.9558,24556747180.2985
8.85,-7,4.7,96.9,-4.1,7.8,0,8.5,12586480352.6448,24589002015.1133
9.1,-12,4.7,96.9,-2.1,3.1,1.4,4.3,12603979363.8237,24622172279.7011
9.4,-12,2.7,96.9,-1.2,-1.5,2.7,4.5,12621478375.0026,24655342544.2888
9.7,-8,2.7,96.9,-4.6,-0.8,0.4,4.6,12638977386.1815,24688512808.8765
12.9,-10,2.7,96.9,-3.4,2.3,-1,4.4,12656476397.3604,24721683073.4642
16.1,-17,3,96.9,-2.5,1.9,-0.4,4.1,12673975408.5393,24754853338.0519
17.75,-19,3,96.9,-3.7,0.7,-0.7,4,12691474419.7181,24788023602.6396
19.4,-17,3,96.9,-4.4,2.3,-2.4,3.9,12708973430.897,24821193867.2273
21.05,-16,3.3,96.9,-4.7,2.5,-2.8,3.6,12726472442.0759,24854364131.8151
22.7,-23,3.3,96.9,-3.4,3.1,-0.1,3.1,12743971453.2548,24887534396.4028
21.6,-25,3.3,96.9,-3.9,1.6,0.5,3.2,12761470464.4337,24920704660.9905
20.5,-19,2.7,96.9,-2.7,-2.2,2.6,3.6,12778969475.6125,24953874925.5782
18.6,-17,2.7,96.9,-4.1,2.4,1.4,2.6,12796468486.7914,24987045190.1659
16.7,-13,2.7,96.9,-3.1,4.2,0.7,2.8,12813967497.9703,25020215454.7536
13.85,-9,2.3,96.9,-0.6,1.1,3.4,3.9,12831466509.1492,25053385719.3413
11,-7,2.3,96.9,-2.2,-0.3,2.9,4.4,12848965520.3281,25086555983.9291
10.25,-4,2.3,96.9,-0.2,-3.6,0.8,4.2,12866464531.507,25119726248.5168
9.5,-5,2.3,96.9,-3.5,-0.5,0.4,4.2,12883963542.6858,25152896513.1045
9.2,-7,2.3,96.9,-1.7,-0.3,-0.1,4.4,12901462553.8647,25186066777.6922
8.9,-13,2.3,96.9,-3.2,1.4,-2.6,4.2,12918961565.0436,25219237042.2799
9.5,-18,3.3,96.9,-3.3,1.4,1.7,4.7,12936460576.2225,25252407306.8676
10.1,-16,3.3,96.9,-4,3.5,-0.4,4.4,12953959587.4014,25285577571.4553
9.85,-10,3.3,96.9,-4.5,1.9,2.5,4.2,12971458598.5803,25318747836.043
9.6,-11,4,99.9,-5.6,1.8,-0.5,4.8,12988957609.7591,25351918100.6308
9.4,-13,4,99.9,-5.5,0.5,-2.2,5,13005298109.7904,25382974915.1696
9.2,-14,4,99.9,-1.5,-3.5,-3.4,5.2,13021493958.8234,25413767845.619
9.05,-13,2.7,99.9,-2.4,2.4,0.1,4.6,13037689807.8564,25444560776.0684
8.9,-7,2.7,99.9,-2.6,1.3,-1.2,4,13053885656.8895,25475353706.5179
11.3,-7,2.7,99.9,-2.7,2,-0.7,4,13070081505.9225,25506146636.9673
13.7,-9,2.7,99.9,-2.6,2.7,-1.9,4,13086277354.9556,25536939567.4168
14.95,-13,2.7,99.9,-2.8,3.2,-0.1,3.9,13102473203.9886,25567732497.8662
16.2,-13,2.7,99.9,-2.5,2.4,-0.3,3.8,13118669053.0216,25598525428.3157
17.75,-12,3.3,99.9,-2.7,1.7,-0.9,4,13134864902.0547,25629318358.7651
19.3,-15,3.3,99.9,-1.9,3.6,1.1,4,13151060751.0877,25660111289.2146
19.8,-10,3.3,99.9,-2.8,3.2,-2.2,3.5,13167256600.1207,25690904219.664
20.3,-10,2.7,99.9,-3.3,3.2,0,3.4,13183452449.1538,25721697150.1135
18.65,-9,2.7,99.9,-3.3,1.2,-0.7,3.6,13199648298.1868,25752490080.5629
17,-4,2.7,99.9,-1.1,3.3,0.4,3.8,13215844147.2199,25783283011.0123
14.45,-3,2.7,99.9,-3.5,1.2,-0.1,3.7,13232039996.2529,25814075941.4618
11.9,-3,2.7,99.9,-2.8,2.9,0.3,3.9,13248235845.2859,25844868871.9112
10.9,-4,2.7,99.9,-2.2,1.8,-0.2,3.7,13264431694.319,25875661802.3607
9.9,-3,2.3,99.9,0.6,5,0.7,3.5,13280627543.352,25906454732.8101
9.45,-4,2.3,99.9,1.3,4.4,0.2,3.6,13296823392.385,25937247663.2596
9,-8,2.3,99.9,1.1,3.9,1.5,3.4,13313019241.4181,25968040593.709
9.8,-11,1.3,99.9,-1.9,3.2,1.7,3.4,13329215090.4511,25998833524.1585
10.6,-10,1.3,99.9,-1.4,3.6,0.6,3.5,13345410939.4841,26029626454.6079
10.1,-10,1.3,99.9,-3.8,0.9,0.6,3.8,13361606788.5172,26060419385.0574
9.6,-11,1,104.9,-2.2,1.6,0.9,3,13377802637.5502,26091212315.5068
9.6,-13,1,104.9,-2.4,2.7,1.1,3.2,13391262147.9276,26115369171.6802
9.6,-12,1,104.9,-0.8,4.3,1.3,3.4,13404314586.6728,26138538811.7493
9.95,-11,2.3,104.9,-0.8,4.1,1.2,3.5,13417367025.4179,26161708451.8184
10.3,-8,2.3,104.9,0,4.4,1.4,3.5,13430419464.163,26184878091.8875
12.8,-9,2.3,104.9,-2.8,-0.9,-0.5,3.6,13443471902.9082,26208047731.9566
15.3,-8,1.7,104.9,-3.6,0.9,1.3,3.6,13456524341.6533,26231217372.0257
16.3,-8,1.7,104.9,-3.1,-3.2,-1.8,3.5,13469576780.3984,26254387012.0948
17.3,-11,1.7,104.9,-3.6,-1.9,-1.6,3.3,13482629219.1436,26277556652.164
17.35,-13,2.3,104.9,-3.2,-2.1,0.9,3.4,13495681657.8887,26300726292.2331
17.4,-11,2.3,104.9,-4,-0.9,-1.4,3.3,13508734096.6338,26323895932.3022
18.05,-13,2.3,104.9,-2.9,0.3,-2,3,13521786535.379,26347065572.3713
18.7,-12,3,104.9,-3.1,0.3,-1.7,3.2,13534838974.1241,26370235212.4404
17.5,-14,3,104.9,-2.9,-1,-1.8,3.3,13547891412.8692,26393404852.5095
16.3,-9,3,104.9,-0.2,4.3,0.3,3.4,13560943851.6144,26416574492.5786
14.15,-10,1.3,104.9,-1.2,3.3,2.5,3.5,13573996290.3595,26439744132.6478
12,-8,1.3,104.9,2,3.7,1.4,3.3,13587048729.1046,26462913772.7169
11.15,-8,1.3,104.9,-2.3,3.2,1.1,3.4,13600101167.8498,26486083412.786
10.3,-7,1.3,104.9,-2.5,2.1,-0.2,3.6,13613153606.5949,26509253052.8551
9.55,-8,1.3,104.9,-4.1,0,-0.3,3.3,13626206045.34,26532422692.9242
8.8,-10,1.3,104.9,-1.7,2.8,1.2,3.6,13639258484.0852,26555592332.9933
9.3,-7,1.3,104.9,-2,3.2,2.1,3.9,13652310922.8303,26578761973.0624
9.8,-6,1.3,104.9,-2.4,2.9,-0.6,3.9,13665363361.5755,26601931613.1315
9.4,-7,1.3,104.9,-4.6,0.7,0,3.6,13678415800.3206,26625101253.2007
9,-12,1.7,103.5,-1.5,3.6,0,4.2,13691468239.0657,26648270893.2698
9.2,-10,1.7,103.5,-1.1,2.5,3,4.4,13693776010.1588,26653416876.5743
9.4,-7,1.7,103.5,-3.6,2.3,1,4.3,13694217336.6363,26655431989.9244
9.2,-7,1,103.5,-2.5,2.4,1.8,4.3,13694658663.1138,26657447103.2746
9,-5,1,103.5,-0.7,4.5,2.1,4.5,13695099989.5914,26659462216.6247
11.3,-5,1,103.5,-2.1,4.3,1.4,4.9,13695541316.0689,26661477329.9748
